Plan name:,AUTOMATION ANYWHERE ,,,
Date Range,08/01/2019 - 03/16/2023,,,
,,,,
,,,,
Date,Investment,Transaction Type,Amount,Shares/Unit
3/14/2023,PIMCO INCOME INST,Contributions,345.07,33.212
3/14/2023,FID 500 INDEX,Contributions,"3,105.64",22.77
3/3/2023,FID FREEDOM INC K6,Dividend,12.74,1.262
2/28/2023,PIMCO INCOME INST,Dividend,6.56,0.632
2/28/2023,PIMCO INCOME INST,Contributions,129.5,12.464
2/28/2023,FID 500 INDEX,Contributions,"1,165.50",8.444
2/15/2023,PIMCO INCOME INST,Contributions,129.5,12.345
2/15/2023,FID 500 INDEX,Contributions,"1,165.50",8.088
2/3/2023,FID FREEDOM INC K6,Dividend,14,1.363
1/31/2023,PIMCO INCOME INST,Dividend,5.2,0.488
1/31/2023,PIMCO INCOME INST,Contributions,129.5,12.16
1/31/2023,FID 500 INDEX,Contributions,"1,165.50",8.238
1/17/2023,PIMCO INCOME INST,Contributions,129.5,12.194
1/17/2023,FID 500 INDEX,Contributions,"1,165.50",8.418
12/30/2022,PIMCO INCOME INST,Dividend,4.81,0.465
12/29/2022,FID FREEDOM INC K6,Dividend,223.81,22.516
12/29/2022,FID FREEDOM 2035 K6,Dividend,599.57,47.622
12/27/2022,PIMCO INCOME INST,Dividend,9.05,0.873
12/16/2022,FID 500 INDEX,Dividend,105.11,0.787
12/14/2022,MM BLUE CHIP GR I,Dividend,"1,745.73",101.143
11/30/2022,PIMCO INCOME INST,Dividend,4.78,0.454
11/4/2022,FID FREEDOM INC K6,Dividend,17.48,1.782
10/31/2022,PIMCO INCOME INST,Dividend,4.46,0.436
10/17/2022,PIMCO INCOME INST,Contributions,106.41,10.412
10/17/2022,FID 500 INDEX,Contributions,957.67,7.502
10/7/2022,FID FREEDOM INC K6,Dividend,119.93,12.201
10/7/2022,FID 500 INDEX,Dividend,91.25,0.722
9/30/2022,PIMCO INCOME INST,Dividend,2.99,0.291
9/30/2022,PIMCO INCOME INST,Contributions,129.5,12.61
9/30/2022,FID 500 INDEX,Contributions,"1,165.50",9.329
9/15/2022,PIMCO INCOME INST,Contributions,190.69,17.956
9/15/2022,FID 500 INDEX,Contributions,"1,716.20",12.631
9/2/2022,FID FREEDOM INC K6,Dividend,13.58,1.313
9/1/2022,PIMCO INCOME INST,Contributions,121.41,11.347
9/1/2022,FID 500 INDEX,Contributions,"1,092.66",7.916
8/31/2022,PIMCO INCOME INST,Dividend,1.25,0.117
8/16/2022,PIMCO INCOME INST,Contributions,121.41,11.078
8/16/2022,FID 500 INDEX,Contributions,"1,092.66",7.301
8/5/2022,FID FREEDOM INC K6,Dividend,16.04,1.516
8/2/2022,PIMCO INCOME INST,Contributions,121.41,11.2
8/2/2022,FID 500 INDEX,Contributions,"1,092.66",7.689
7/29/2022,PIMCO INCOME INST,Dividend,0.22,0.02
7/18/2022,PIMCO INCOME INST,Contributions,121.41,11.421
7/18/2022,FID 500 INDEX,Contributions,"1,092.66",8.215
7/5/2022,MM BLUE CHIP GR I,Contributions,242.82,12.027
7/5/2022,J H ENTERPRISE IS,Contributions,242.81,3.652
7/5/2022,FID FREEDOM INC K6,Contributions,242.81,23.325
7/5/2022,FID FREEDOM 2035 K6,Contributions,242.82,18.911
7/5/2022,FID 500 INDEX,Contributions,242.81,1.826
7/1/2022,FID FREEDOM INC K6,Dividend,9.68,0.928
7/1/2022,FID 500 INDEX,Dividend,58.69,0.442
6/16/2022,MM BLUE CHIP GR I,Contributions,352.08,18.599
6/16/2022,J H ENTERPRISE IS,Contributions,352.08,5.496
6/16/2022,FID FREEDOM INC K6,Contributions,352.08,34.116
6/16/2022,FID FREEDOM 2035 K6,Contributions,352.08,27.81
6/16/2022,FID 500 INDEX,Contributions,352.08,2.756
6/15/2022,J H ENTERPRISE IS,Dividend,"2,221.28",33.333
6/3/2022,FID FREEDOM INC K6,Dividend,9.4,0.88
6/2/2022,MM BLUE CHIP GR I,Contributions,242.82,11.093
6/2/2022,J H ENTERPRISE IS,Contributions,242.81,2.745
6/2/2022,FID FREEDOM INC K6,Contributions,242.81,22.629
6/2/2022,FID FREEDOM 2035 K6,Contributions,242.82,17.382
6/2/2022,FID 500 INDEX,Contributions,242.81,1.67
5/17/2022,MM BLUE CHIP GR I,Contributions,242.82,11.492
5/17/2022,J H ENTERPRISE IS,Contributions,242.81,2.838
5/17/2022,FID FREEDOM INC K6,Contributions,242.81,22.907
5/17/2022,FID FREEDOM 2035 K6,Contributions,242.82,17.868
5/17/2022,FID 500 INDEX,Contributions,242.81,1.708
5/6/2022,FID FREEDOM INC K6,Dividend,277.82,26.309
5/6/2022,FID FREEDOM 2035 K6,Dividend,971.62,71.654
5/4/2022,MM BLUE CHIP GR I,Contributions,242.82,10.544
5/4/2022,J H ENTERPRISE IS,Contributions,242.81,2.716
5/4/2022,FID FREEDOM INC K6,Contributions,242.81,22.074
5/4/2022,FID FREEDOM 2035 K6,Contributions,242.82,16.102
5/4/2022,FID 500 INDEX,Contributions,242.81,1.625
4/20/2022,MM BLUE CHIP GR I,Contributions,242.82,10.03
4/20/2022,J H ENTERPRISE IS,Contributions,242.81,2.607
4/20/2022,FID FREEDOM INC K6,Contributions,242.81,21.855
4/20/2022,FID FREEDOM 2035 K6,Contributions,242.82,15.636
4/20/2022,FID 500 INDEX,Contributions,242.81,1.568
4/8/2022,FID 500 INDEX,Dividend,42.56,0.273
4/1/2022,FID FREEDOM INC K6,Dividend,8.46,0.747
3/31/2022,MM BLUE CHIP GR I,Contributions,242.82,9.383
3/31/2022,J H ENTERPRISE IS,Contributions,242.81,2.594
3/31/2022,FID FREEDOM INC K6,Contributions,242.81,21.412
3/31/2022,FID FREEDOM 2035 K6,Contributions,242.82,15.33
3/31/2022,FID 500 INDEX,Contributions,242.81,1.54
3/15/2022,MM BLUE CHIP GR I,Contributions,828.18,35.107
3/15/2022,J H ENTERPRISE IS,Contributions,828.19,9.275
3/15/2022,FID FREEDOM INC K6,Contributions,828.19,73.88
3/15/2022,FID FREEDOM 2035 K6,Contributions,828.18,54.919
3/15/2022,FID 500 INDEX,Contributions,828.19,5.584
3/4/2022,FID FREEDOM INC K6,Dividend,4.81,0.42
2/28/2022,MM BLUE CHIP GR I,Contributions,234.6,9.335
2/28/2022,J H ENTERPRISE IS,Contributions,234.6,2.517
2/28/2022,FID FREEDOM INC K6,Contributions,234.6,20.4
2/28/2022,FID FREEDOM 2035 K6,Contributions,234.6,14.839
2/28/2022,FID 500 INDEX,Contributions,234.6,1.543
2/16/2022,MM BLUE CHIP GR I,Contributions,234.6,9.072
2/16/2022,J H ENTERPRISE IS,Contributions,234.6,2.474
2/16/2022,FID FREEDOM INC K6,Contributions,234.6,20.329
2/16/2022,FID FREEDOM 2035 K6,Contributions,234.6,14.401
2/16/2022,FID 500 INDEX,Contributions,234.6,1.509
2/4/2022,FID FREEDOM INC K6,Dividend,1.84,0.16
1/31/2022,MM BLUE CHIP GR I,Contributions,234.6,8.903
1/31/2022,J H ENTERPRISE IS,Contributions,234.6,2.496
1/31/2022,FID FREEDOM INC K6,Contributions,234.6,20.172
1/31/2022,FID FREEDOM 2035 K6,Contributions,234.6,14.437
1/31/2022,FID 500 INDEX,Contributions,234.6,1.497
1/14/2022,MM BLUE CHIP GR I,Contributions,234.6,8.543
1/14/2022,J H ENTERPRISE IS,Contributions,234.6,2.4
1/14/2022,FID FREEDOM INC K6,Contributions,234.6,20.017
1/14/2022,FID FREEDOM 2035 K6,Contributions,234.6,14.023
1/14/2022,FID 500 INDEX,Contributions,234.6,1.45
12/31/2021,MM BLUE CHIP GR I,Contributions,42.25,1.461
12/31/2021,J H ENTERPRISE IS,Contributions,42.25,0.42
12/31/2021,FID FREEDOM INC K6,Contributions,42.25,3.571
12/31/2021,FID FREEDOM 2035 K6,Contributions,42.25,2.503
12/31/2021,FID 500 INDEX,Contributions,42.25,0.256
12/30/2021,FID FREEDOM INC K6,Dividend,304.07,25.703
12/30/2021,FID FREEDOM 2035 K6,Dividend,993.82,58.84
12/16/2021,MM BLUE CHIP GR I,Dividend,"2,194.93",77.178
12/15/2021,MM BLUE CHIP GR I,Contributions,331.34,9.349
12/15/2021,J H ENTERPRISE IS,Contributions,331.34,3.389
12/15/2021,FID FREEDOM INC K6,Contributions,331.34,27.316
12/15/2021,FID FREEDOM 2035 K6,Contributions,331.34,18.562
12/15/2021,FID 500 INDEX,Contributions,331.34,2.029
12/10/2021,FID 500 INDEX,Dividend,44.55,0.273
12/1/2021,MM BLUE CHIP GR I,Contributions,234.6,6.846
12/1/2021,J H ENTERPRISE IS,Contributions,234.6,2.484
12/1/2021,FID FREEDOM INC K6,Contributions,234.6,19.372
12/1/2021,FID FREEDOM 2035 K6,Contributions,234.6,13.39
12/1/2021,FID 500 INDEX,Contributions,234.6,1.495
11/15/2021,MM BLUE CHIP GR I,Contributions,234.6,6.391
11/15/2021,J H ENTERPRISE IS,Contributions,234.6,2.323
11/15/2021,FID FREEDOM INC K6,Contributions,234.6,19.151
11/15/2021,FID FREEDOM 2035 K6,Contributions,234.6,12.757
11/15/2021,FID 500 INDEX,Contributions,234.6,1.442
11/5/2021,FID FREEDOM INC K6,Dividend,5.5,0.447
11/1/2021,FID FREEDOM INCOME,Realized Gain/Loss,189.7,0
11/1/2021,FID FREEDOM INCOME,Exchanges,"-9,598.05",-783.514
11/1/2021,FID FREEDOM INC K6,Exchanges,"9,598.05",785.438
11/1/2021,FID FREEDOM 2035 K6,Exchanges,"13,975.70",767.896
11/1/2021,FID FREEDOM 2035,Realized Gain/Loss,"2,027.22",0
11/1/2021,FID FREEDOM 2035,Exchanges,"-13,975.70",-766.632
10/29/2021,MM BLUE CHIP GR I,Contributions,234.6,6.597
10/29/2021,J H ENTERPRISE IS,Contributions,234.6,2.376
10/29/2021,FID FREEDOM INCOME,Contributions,234.6,19.167
10/29/2021,FID FREEDOM 2035,Contributions,234.6,12.954
10/29/2021,FID 500 INDEX,Contributions,234.6,1.467
10/15/2021,MM BLUE CHIP GR I,Contributions,234.6,6.728
10/15/2021,J H ENTERPRISE IS,Contributions,234.6,2.39
10/15/2021,FID FREEDOM INCOME,Contributions,234.6,19.182
10/15/2021,FID FREEDOM 2035,Contributions,234.6,13.048
10/15/2021,FID 500 INDEX,Contributions,234.6,1.512
10/1/2021,FID FREEDOM INCOME,Dividend,80.5,6.62
10/1/2021,FID 500 INDEX,Dividend,37.03,0.245
9/30/2021,MM BLUE CHIP GR I,Contributions,205,6.09
9/30/2021,J H ENTERPRISE IS,Contributions,205,2.156
9/30/2021,FID FREEDOM INCOME,Contributions,205,16.762
9/30/2021,FID FREEDOM 2035,Contributions,205,11.755
9/30/2021,FID 500 INDEX,Contributions,205.01,1.367
9/15/2021,MM BLUE CHIP GR I,Contributions,297.25,8.395
9/15/2021,J H ENTERPRISE IS,Contributions,297.25,3.035
9/15/2021,FID FREEDOM INCOME,Contributions,297.25,23.972
9/15/2021,FID FREEDOM 2035,Contributions,297.25,16.514
9/15/2021,FID 500 INDEX,Contributions,297.26,1.906
9/3/2021,FID FREEDOM INCOME,Dividend,4.18,0.337
8/31/2021,MM BLUE CHIP GR I,Contributions,177.67,4.959
8/31/2021,J H ENTERPRISE IS,Contributions,177.67,1.815
8/31/2021,FID FREEDOM INCOME,Contributions,177.67,14.363
8/31/2021,FID FREEDOM 2035,Contributions,177.67,9.882
8/31/2021,FID 500 INDEX,Contributions,177.66,1.13
8/13/2021,MM BLUE CHIP GR I,Contributions,177.67,5.06
8/13/2021,J H ENTERPRISE IS,Contributions,177.67,1.838
8/13/2021,FID FREEDOM INCOME,Contributions,177.67,14.398
8/13/2021,FID FREEDOM 2035,Contributions,177.67,9.948
8/13/2021,FID 500 INDEX,Contributions,177.66,1.144
8/6/2021,FID FREEDOM INCOME,Dividend,4.68,0.38
7/30/2021,MM BLUE CHIP GR I,Contributions,177.67,5.117
7/30/2021,J H ENTERPRISE IS,Contributions,177.67,1.835
7/30/2021,FID FREEDOM INCOME,Contributions,177.67,14.398
7/30/2021,FID FREEDOM 2035,Contributions,177.67,10.066
7/30/2021,FID 500 INDEX,Contributions,177.66,1.164
7/15/2021,MM BLUE CHIP GR I,Contributions,177.67,5.165
7/15/2021,J H ENTERPRISE IS,Contributions,177.67,1.899
7/15/2021,FID FREEDOM INCOME,Contributions,177.67,14.433
7/15/2021,FID FREEDOM 2035,Contributions,177.67,10.089
7/15/2021,FID 500 INDEX,Contributions,177.66,1.174
7/2/2021,FID FREEDOM INCOME,Dividend,3.19,0.26
7/2/2021,FID 500 INDEX,Dividend,30.84,0.204
6/30/2021,MM BLUE CHIP GR I,Contributions,177.67,5.236
6/30/2021,J H ENTERPRISE IS,Contributions,177.67,1.886
6/30/2021,FID FREEDOM INCOME,Contributions,177.67,14.48
6/30/2021,FID FREEDOM 2035,Contributions,177.67,10.066
6/30/2021,FID 500 INDEX,Contributions,177.66,1.188
6/16/2021,MM BLUE CHIP GR I,Contributions,253.62,7.716
6/16/2021,J H ENTERPRISE IS,Contributions,253.62,2.708
6/16/2021,FID FREEDOM INCOME,Contributions,253.62,20.771
6/16/2021,FID FREEDOM 2035,Contributions,253.62,14.418
6/16/2021,FID 500 INDEX,Contributions,253.62,1.726
6/10/2021,J H ENTERPRISE IS,Dividend,751.12,8.018
6/4/2021,FID FREEDOM INCOME,Dividend,3.01,0.246
5/28/2021,MM BLUE CHIP GR I,Contributions,177.67,5.499
5/28/2021,J H ENTERPRISE IS,Contributions,177.67,1.736
5/28/2021,FID FREEDOM INCOME,Contributions,177.67,14.575
5/28/2021,FID FREEDOM 2035,Contributions,177.67,10.153
5/28/2021,FID 500 INDEX,Contributions,177.66,1.215
5/14/2021,MM BLUE CHIP GR I,Contributions,177.67,5.642
5/14/2021,J H ENTERPRISE IS,Contributions,177.67,1.754
5/14/2021,FID FREEDOM INCOME,Contributions,177.67,14.671
5/14/2021,FID FREEDOM 2035,Dividend,468.76,27.222
5/14/2021,FID FREEDOM 2035,Contributions,177.67,10.318
5/14/2021,FID 500 INDEX,Contributions,177.66,1.225
5/7/2021,FID FREEDOM INCOME,Dividend,124.15,10.185
4/30/2021,MM BLUE CHIP GR I,Contributions,177.67,5.467
4/30/2021,J H ENTERPRISE IS,Contributions,177.67,1.726
4/30/2021,FID FREEDOM INCOME,Contributions,177.67,14.421
4/30/2021,FID FREEDOM 2035,Contributions,177.67,9.887
4/30/2021,FID 500 INDEX,Contributions,177.66,1.224
4/15/2021,MM BLUE CHIP GR I,Contributions,177.67,5.447
4/15/2021,J H ENTERPRISE IS,Contributions,177.67,1.73
4/15/2021,FID FREEDOM INCOME,Contributions,177.67,14.421
4/15/2021,FID FREEDOM 2035,Contributions,177.67,9.898
4/15/2021,FID 500 INDEX,Contributions,177.66,1.227
