"_messagetimems","_messagetime","_raw","cluster","_collector","container","deployment","environment","host","log_level","logtype","namespace","node","pod","provider","region","service","_size","_source","_sourcecategory","_sourcehost","_sourcename","tier"
"1667250522988","10/31/2022 14:08:42.988 -0700","{""timestamp"":1667250522988,""log"":{""ClientAddr"":""10.19.173.60:13292"",""ClientHost"":""10.19.173.60"",""ClientPort"":""13292"",""ClientUsername"":""-"",""DownstreamContentSize"":1398,""DownstreamStatus"":200,""Duration"":841907,""OriginContentSize"":1398,""OriginDuration"":756532,""OriginStatus"":200,""Overhead"":85375,""RequestAddr"":""10.19.82.26"",""RequestContentSize"":0,""RequestCount"":7531,""RequestHost"":""10.19.82.26"",""RequestMethod"":""GET"",""RequestPath"":""/"",""RequestPort"":""-"",""RequestProtocol"":""HTTP/1.1"",""RequestScheme"":""http"",""RetryAttempts"":0,""RouterName"":""static@file"",""ServiceAddr"":""127.0.0.1:4567"",""ServiceName"":""static@file"",""ServiceURL"":{""Scheme"":""http"",""Opaque"":"""",""User"":null,""Host"":""127.0.0.1:4567"",""Path"":"""",""RawPath"":"""",""OmitHost"":false,""ForceQuery"":false,""RawQuery"":"""",""Fragment"":"""",""RawFragment"":""""},""StartLocal"":""2022-10-31T21:08:42.98712299Z"",""StartUTC"":""2022-10-31T21:08:42.98712299Z"",""entryPointName"":""web"",""level"":""info"",""msg"":"""",""time"":""2022-10-31T21:08:42Z""},""stream"":""stdout"",""time"":""2022-10-31T21:08:42.988177172Z""}","test-us-west-2-eks","test-us-west-2-eks","kernel-traefikv2","lilywei-kernel","test","ip-10-19-70-63.us-west-2.compute.internal","info","Other","default","ip-10-19-70-63.us-west-2.compute.internal","lilywei-kernel-5b4df4c899-2429k","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","1013","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-5b4df4c899-2429k_kernel-traefikv2","infrequent"
"1667250522988","10/31/2022 14:08:42.988 -0700","{""timestamp"":1667250522988,""log"":{""ClientAddr"":""10.19.173.60:38980"",""ClientHost"":""10.19.173.60"",""ClientPort"":""38980"",""ClientUsername"":""-"",""DownstreamContentSize"":22,""DownstreamStatus"":200,""Duration"":656877,""OriginContentSize"":22,""OriginDuration"":606254,""OriginStatus"":200,""Overhead"":50623,""RequestAddr"":""10.19.32.184"",""RequestContentSize"":0,""RequestCount"":4596,""RequestHost"":""10.19.32.184"",""RequestMethod"":""GET"",""RequestPath"":""/storage/v1/health"",""RequestPort"":""-"",""RequestProtocol"":""HTTP/1.1"",""RequestScheme"":""http"",""RetryAttempts"":0,""RouterName"":""storage@file"",""ServiceAddr"":""127.0.0.1:4571"",""ServiceName"":""storage@file"",""ServiceURL"":{""Scheme"":""http"",""Opaque"":"""",""User"":null,""Host"":""127.0.0.1:4571"",""Path"":"""",""RawPath"":"""",""OmitHost"":false,""ForceQuery"":false,""RawQuery"":"""",""Fragment"":"""",""RawFragment"":""""},""StartLocal"":""2022-10-31T21:08:42.987644838Z"",""StartUTC"":""2022-10-31T21:08:42.987644838Z"",""entryPointName"":""web"",""level"":""info"",""msg"":"""",""time"":""2022-10-31T21:08:42Z""},""stream"":""stdout"",""time"":""2022-10-31T21:08:42.98848114Z""}","test-us-west-2-eks","test-us-west-2-eks","storage-traefikv2","lilywei-storage","test","ip-10-19-43-16.us-west-2.compute.internal","info","Other","default","ip-10-19-43-16.us-west-2.compute.internal","lilywei-storage-696955bfb7-48vkf","aws","us-west-2","lilywei-storage_lilywei-storage-internal","1031","logs","test/aws/us-west-2/k8s/default/lilywei-storage","44.235.187.138","default_lilywei-storage-696955bfb7-48vkf_storage-traefikv2","infrequent"
"1667250522988","10/31/2022 14:08:42.988 -0700","{""timestamp"":1667250522988,""log"":{""ClientAddr"":""10.19.173.60:2624"",""ClientHost"":""10.19.173.60"",""ClientPort"":""2624"",""ClientUsername"":""-"",""DownstreamContentSize"":22,""DownstreamStatus"":200,""Duration"":801149,""OriginContentSize"":22,""OriginDuration"":752802,""OriginStatus"":200,""Overhead"":48347,""RequestAddr"":""10.19.65.215"",""RequestContentSize"":0,""RequestCount"":4601,""RequestHost"":""10.19.65.215"",""RequestMethod"":""GET"",""RequestPath"":""/processdiscovery/v1/health"",""RequestPort"":""-"",""RequestProtocol"":""HTTP/1.1"",""RequestScheme"":""http"",""RetryAttempts"":0,""RouterName"":""processdiscovery@file"",""ServiceAddr"":""127.0.0.1:4568"",""ServiceName"":""processdiscovery@file"",""ServiceURL"":{""Scheme"":""http"",""Opaque"":"""",""User"":null,""Host"":""127.0.0.1:4568"",""Path"":"""",""RawPath"":"""",""OmitHost"":false,""ForceQuery"":false,""RawQuery"":"""",""Fragment"":"""",""RawFragment"":""""},""StartLocal"":""2022-10-31T21:08:42.987142396Z"",""StartUTC"":""2022-10-31T21:08:42.987142396Z"",""entryPointName"":""web"",""level"":""info"",""msg"":"""",""time"":""2022-10-31T21:08:42Z""},""stream"":""stdout"",""time"":""2022-10-31T21:08:42.988118144Z""}","test-us-west-2-eks","test-us-west-2-eks","procdisc-traefikv2","lilywei-procdisc","test","ip-10-19-69-195.us-west-2.compute.internal","info","Other","default","ip-10-19-69-195.us-west-2.compute.internal","lilywei-procdisc-f5bdb6f7f-42kwf","aws","us-west-2","lilywei-procdisc","1057","logs","test/aws/us-west-2/k8s/default/lilywei-procdisc","44.232.204.179","default_lilywei-procdisc-f5bdb6f7f-42kwf_procdisc-traefikv2","infrequent"
"1667250522987","10/31/2022 14:08:42.987 -0700","{""timestamp"":1667250522987,""log"":{""instant"":{""epochSecond"":1667250522,""nanoOfSecond"":987548000},""thread"":""jetty-72"",""level"":""INFO"",""loggerName"":""com.automationanywhere.processdiscovery.logging.filter.SecurityContextLoggingFilter"",""message"":""before: isFlowchartToPddUrls(req): false"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""contextMap"":{},""threadId"":72,""threadPriority"":5},""stream"":""stdout"",""time"":""2022-10-31T21:08:42.987664741Z""}","test-us-west-2-eks","test-us-west-2-eks","procdisc-procdisc","lilywei-procdisc","test","ip-10-19-69-195.us-west-2.compute.internal","INFO","Other","default","ip-10-19-69-195.us-west-2.compute.internal","lilywei-procdisc-f5bdb6f7f-42kwf","aws","us-west-2","lilywei-procdisc","469","logs","test/aws/us-west-2/k8s/default/lilywei-procdisc","44.232.204.179","default_lilywei-procdisc-f5bdb6f7f-42kwf_procdisc-procdisc","infrequent"
"1667250522987","10/31/2022 14:08:42.987 -0700","{""timestamp"":1667250522987,""log"":{""instant"":{""epochSecond"":1667250522,""nanoOfSecond"":987490000},""thread"":""jetty-72"",""level"":""INFO"",""loggerName"":""com.automationanywhere.processdiscovery.logging.filter.SecurityContextLoggingFilter"",""message"":""before: req.pathInfo(): /v1/health"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""contextMap"":{},""threadId"":72,""threadPriority"":5},""stream"":""stdout"",""time"":""2022-10-31T21:08:42.987630507Z""}","test-us-west-2-eks","test-us-west-2-eks","procdisc-procdisc","lilywei-procdisc","test","ip-10-19-69-195.us-west-2.compute.internal","INFO","Other","default","ip-10-19-69-195.us-west-2.compute.internal","lilywei-procdisc-f5bdb6f7f-42kwf","aws","us-west-2","lilywei-procdisc","463","logs","test/aws/us-west-2/k8s/default/lilywei-procdisc","44.232.204.179","default_lilywei-procdisc-f5bdb6f7f-42kwf_procdisc-procdisc","infrequent"
"1667250522899","10/31/2022 14:08:42.899 -0700","{""timestamp"":1667250522899,""log"":{""ClientAddr"":""10.19.201.235:52160"",""ClientHost"":""50.225.245.66"",""ClientPort"":""52160"",""ClientUsername"":""-"",""DownstreamContentSize"":23,""DownstreamStatus"":200,""Duration"":211385480,""OriginContentSize"":23,""OriginDuration"":211334909,""OriginStatus"":200,""Overhead"":50571,""RequestAddr"":""lilywei.aaedev.supremomono.com"",""RequestContentSize"":26,""RequestCount"":7532,""RequestHost"":""lilywei.aaedev.supremomono.com"",""RequestMethod"":""POST"",""RequestPath"":""/v2/userdevices"",""RequestPort"":""-"",""RequestProtocol"":""HTTP/1.1"",""RequestScheme"":""http"",""RetryAttempts"":0,""RouterName"":""app@file"",""ServiceAddr"":""127.0.0.1:4567"",""ServiceName"":""app@file"",""ServiceURL"":{""Scheme"":""http"",""Opaque"":"""",""User"":null,""Host"":""127.0.0.1:4567"",""Path"":"""",""RawPath"":"""",""OmitHost"":false,""ForceQuery"":false,""RawQuery"":"""",""Fragment"":"""",""RawFragment"":""""},""StartLocal"":""2022-10-31T21:08:42.687676962Z"",""StartUTC"":""2022-10-31T21:08:42.687676962Z"",""entryPointName"":""web"",""level"":""info"",""msg"":"""",""request_X-Authorization"":""REDACTED"",""time"":""2022-10-31T21:08:42Z""},""stream"":""stdout"",""time"":""2022-10-31T21:08:42.899233451Z""}","test-us-west-2-eks","test-us-west-2-eks","kernel-traefikv2","lilywei-kernel","test","ip-10-19-46-14.us-west-2.compute.internal","info","Other","default","ip-10-19-46-14.us-west-2.compute.internal","lilywei-kernel-5b4df4c899-zr55r","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","1104","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-5b4df4c899-zr55r_kernel-traefikv2","infrequent"
"1667250522889","10/31/2022 14:08:42.889 -0700","{""timestamp"":1667250522889,""log"":{""instant"":{""epochSecond"":1667250522,""nanoOfSecond"":889149000},""thread"":""cr-jetty-4792"",""level"":""WARN"",""loggerName"":""com.automationanywhere.license.service.impl.LicenseStrategyProviderHelper"",""message"":""Exception thrown while fetching from configuration Configuration not found"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""contextMap"":{""NewRelic:span.id"":""e8df40555c3d7d3c"",""NewRelic:trace.id"":""f928a5967ff8a6e1ef0e3e7c333de5cb""},""threadId"":4792,""threadPriority"":5},""stream"":""stdout"",""time"":""2022-10-31T21:08:42.889349246Z""}","test-us-west-2-eks","test-us-west-2-eks","kernel-kernel","lilywei-kernel","test","ip-10-19-46-14.us-west-2.compute.internal","WARN","Other","default","ip-10-19-46-14.us-west-2.compute.internal","lilywei-kernel-5b4df4c899-zr55r","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","592","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-5b4df4c899-zr55r_kernel-kernel","infrequent"
"1667250522847","10/31/2022 14:08:42.847 -0700","{""timestamp"":1667250522847,""log"":{""ClientAddr"":""10.19.192.64:17026"",""ClientHost"":""10.19.192.64"",""ClientPort"":""17026"",""ClientUsername"":""-"",""DownstreamContentSize"":1398,""DownstreamStatus"":200,""Duration"":1681837,""OriginContentSize"":1398,""OriginDuration"":1589943,""OriginStatus"":200,""Overhead"":91894,""RequestAddr"":""10.19.82.26"",""RequestContentSize"":0,""RequestCount"":7530,""RequestHost"":""10.19.82.26"",""RequestMethod"":""GET"",""RequestPath"":""/"",""RequestPort"":""-"",""RequestProtocol"":""HTTP/1.1"",""RequestScheme"":""http"",""RetryAttempts"":0,""RouterName"":""static@file"",""ServiceAddr"":""127.0.0.1:4567"",""ServiceName"":""static@file"",""ServiceURL"":{""Scheme"":""http"",""Opaque"":"""",""User"":null,""Host"":""127.0.0.1:4567"",""Path"":"""",""RawPath"":"""",""OmitHost"":false,""ForceQuery"":false,""RawQuery"":"""",""Fragment"":"""",""RawFragment"":""""},""StartLocal"":""2022-10-31T21:08:42.845162187Z"",""StartUTC"":""2022-10-31T21:08:42.845162187Z"",""entryPointName"":""web"",""level"":""info"",""msg"":"""",""time"":""2022-10-31T21:08:42Z""},""stream"":""stdout"",""time"":""2022-10-31T21:08:42.847020153Z""}","test-us-west-2-eks","test-us-west-2-eks","kernel-traefikv2","lilywei-kernel","test","ip-10-19-70-63.us-west-2.compute.internal","info","Other","default","ip-10-19-70-63.us-west-2.compute.internal","lilywei-kernel-5b4df4c899-2429k","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","1017","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-5b4df4c899-2429k_kernel-traefikv2","infrequent"
"1667250522846","10/31/2022 14:08:42.846 -0700","{""timestamp"":1667250522846,""log"":{""ClientAddr"":""10.19.192.64:36590"",""ClientHost"":""10.19.192.64"",""ClientPort"":""36590"",""ClientUsername"":""-"",""DownstreamContentSize"":22,""DownstreamStatus"":200,""Duration"":859686,""OriginContentSize"":22,""OriginDuration"":768854,""OriginStatus"":200,""Overhead"":90832,""RequestAddr"":""10.19.65.215"",""RequestContentSize"":0,""RequestCount"":4600,""RequestHost"":""10.19.65.215"",""RequestMethod"":""GET"",""RequestPath"":""/processdiscovery/v1/health"",""RequestPort"":""-"",""RequestProtocol"":""HTTP/1.1"",""RequestScheme"":""http"",""RetryAttempts"":0,""RouterName"":""processdiscovery@file"",""ServiceAddr"":""127.0.0.1:4568"",""ServiceName"":""processdiscovery@file"",""ServiceURL"":{""Scheme"":""http"",""Opaque"":"""",""User"":null,""Host"":""127.0.0.1:4568"",""Path"":"""",""RawPath"":"""",""OmitHost"":false,""ForceQuery"":false,""RawQuery"":"""",""Fragment"":"""",""RawFragment"":""""},""StartLocal"":""2022-10-31T21:08:42.84526448Z"",""StartUTC"":""2022-10-31T21:08:42.84526448Z"",""entryPointName"":""web"",""level"":""info"",""msg"":"""",""time"":""2022-10-31T21:08:42Z""},""stream"":""stdout"",""time"":""2022-10-31T21:08:42.846319817Z""}","test-us-west-2-eks","test-us-west-2-eks","procdisc-traefikv2","lilywei-procdisc","test","ip-10-19-69-195.us-west-2.compute.internal","info","Other","default","ip-10-19-69-195.us-west-2.compute.internal","lilywei-procdisc-f5bdb6f7f-42kwf","aws","us-west-2","lilywei-procdisc","1057","logs","test/aws/us-west-2/k8s/default/lilywei-procdisc","35.155.28.36","default_lilywei-procdisc-f5bdb6f7f-42kwf_procdisc-traefikv2","infrequent"
"1667250522846","10/31/2022 14:08:42.846 -0700","{""timestamp"":1667250522846,""log"":{""ClientAddr"":""10.19.192.64:48648"",""ClientHost"":""10.19.192.64"",""ClientPort"":""48648"",""ClientUsername"":""-"",""DownstreamContentSize"":22,""DownstreamStatus"":200,""Duration"":729542,""OriginContentSize"":22,""OriginDuration"":655141,""OriginStatus"":200,""Overhead"":74401,""RequestAddr"":""10.19.32.184"",""RequestContentSize"":0,""RequestCount"":4595,""RequestHost"":""10.19.32.184"",""RequestMethod"":""GET"",""RequestPath"":""/storage/v1/health"",""RequestPort"":""-"",""RequestProtocol"":""HTTP/1.1"",""RequestScheme"":""http"",""RetryAttempts"":0,""RouterName"":""storage@file"",""ServiceAddr"":""127.0.0.1:4571"",""ServiceName"":""storage@file"",""ServiceURL"":{""Scheme"":""http"",""Opaque"":"""",""User"":null,""Host"":""127.0.0.1:4571"",""Path"":"""",""RawPath"":"""",""OmitHost"":false,""ForceQuery"":false,""RawQuery"":"""",""Fragment"":"""",""RawFragment"":""""},""StartLocal"":""2022-10-31T21:08:42.846019417Z"",""StartUTC"":""2022-10-31T21:08:42.846019417Z"",""entryPointName"":""web"",""level"":""info"",""msg"":"""",""time"":""2022-10-31T21:08:42Z""},""stream"":""stdout"",""time"":""2022-10-31T21:08:42.846912083Z""}","test-us-west-2-eks","test-us-west-2-eks","storage-traefikv2","lilywei-storage","test","ip-10-19-43-16.us-west-2.compute.internal","info","Other","default","ip-10-19-43-16.us-west-2.compute.internal","lilywei-storage-696955bfb7-48vkf","aws","us-west-2","lilywei-storage_lilywei-storage-internal","1032","logs","test/aws/us-west-2/k8s/default/lilywei-storage","44.235.187.138","default_lilywei-storage-696955bfb7-48vkf_storage-traefikv2","infrequent"
